2025/01/26	13:22:29	5f4f8f0d-dea3-450e-be4c-aa04990876ea	GET	/
2025/01/26	13:22:29	edb22686-4b75-4318-92bc-61da02977f32	GET	/css/style.css
2025/01/26	13:22:39	10a343b6-17fc-45f4-9f3b-7de9b87a9647	GET	/new-page
2025/01/26	13:22:39	25d3a44e-b1e9-4c5b-b51e-4bf30ed35d8b	GET	/css/style.css
2025/01/26	13:22:39	56adf0ea-647a-4e7b-a752-e88ed9687ca2	GET	/img/img1.jpg
2025/01/26	13:23:52	2d7edf8f-b7c7-45ed-9825-7eb4b0c6714a	GET	/new-page
2025/01/26	13:23:53	4b9587e8-0925-4075-ae76-7e3ef46bb258	GET	/css/style.css
2025/01/26	13:23:53	b6bae4b4-494e-4be2-8e78-a7b634c0940b	GET	/img/img1.jpg
2025/01/26	13:24:46	a805bdd4-3901-41a3-a791-08550991a30f	GET	/new-page
2025/01/26	13:24:46	413ba044-c151-4f6f-a26a-75b87269464a	GET	/css/style.css
2025/01/26	13:24:46	90ee3876-58e2-422d-a033-9cedabd691fb	GET	/img/img1.jpg
2025/01/26	13:26:10	c0a6b185-b4d3-4a9e-88e9-40849f1ec8a5	GET	undefined	/new-page
2025/01/26	13:26:10	281b6898-8026-47fb-8ad1-7066f9100666	GET	undefined	/css/style.css
2025/01/26	13:26:10	2890a02c-86ed-4b82-aef9-6b4870e877a0	GET	undefined	/img/img1.jpg
2025/01/26	13:26:21	637924cc-60dc-4790-9852-7c8f838e5ef2	GET	undefined	/new-page
2025/01/26	13:26:21	8d36db92-4444-4c8d-aee1-f0d0f2ea7581	GET	undefined	/css/style.css
2025/01/26	13:26:21	5fff4b6f-152d-4337-b61d-52b5aeedbff3	GET	undefined	/img/img1.jpg
2025/01/26	13:26:56	7f3c0070-423b-444b-b29d-4547f884e36c	GET	undefined	/new-page
2025/01/26	13:26:56	f9c65b1c-9940-4a4c-ad55-8b73fa29949d	GET	undefined	/css/style.css
2025/01/26	13:26:56	af869ef7-9390-4a16-a467-bc549b21c65c	GET	undefined	/img/img1.jpg
2025/01/26	13:27:23	2ed8d238-04c0-4ffb-92d8-b06cfa465577	GET	undefined	/new-page
2025/01/26	13:27:23	ed54dacc-b2b6-490a-b92e-11a8c37f9841	GET	undefined	/css/style.css
2025/01/26	13:27:23	306d4721-8495-486b-a84f-fc3f470bbf0b	GET	undefined	/img/img1.jpg
2025/01/26	13:30:14	06e064c3-9813-4e1a-8646-3554f9dcca60	OPTIONS	https://www.google.com	/
2025/01/26	13:30:14	45ca3045-0447-4e18-b9a8-9d65dab9c902	GET	https://www.google.com	/
2025/01/26	13:32:47	9e8363c7-5f2f-4583-96d0-459cff128690	OPTIONS	https://www.google.com	/
2025/01/26	13:32:47	7e1089c3-cdd9-488f-82d4-dbc265d779af	GET	https://www.google.com	/
2025/01/26	13:32:50	27f2762d-aa01-4488-869f-3f43a72cfe6b	GET	https://www.google.com	/
2025/01/26	13:33:29	8f4fa1f9-ddea-4e97-af96-a22d849cad04	OPTIONS	https://www.google.com	/
2025/01/26	13:33:29	d053d05f-c54d-4005-be30-7eb7a8e3f145	GET	https://www.google.com	/
2025/01/26	13:33:37	e5f48e5a-b718-4375-9462-4380c0692535	OPTIONS	https://www.google.com	/
2025/01/26	13:33:37	1717bfba-c32b-468f-9789-ce2d4701c5cb	GET	https://www.google.com	/
2025/01/26	13:34:34	fb01bd8a-fef1-4355-8ea4-e00b7377ce10	OPTIONS	https://www.google.com	/
2025/01/26	13:34:34	f3b0c15d-225a-4808-9ee8-2d9f630610db	GET	https://www.google.com	/
2025/01/26	13:41:11	ad82840f-bb7a-4406-bb9c-d18cc02491d6	OPTIONS	https://www.google.com	/
2025/01/26	13:41:11	8ff2ff97-beb8-4034-8a09-30db1c81d267	GET	https://www.google.com	/
2025/01/26	13:41:26	fca024f7-197a-427c-a83d-832badf9511c	OPTIONS	https://www.google.com	/
2025/01/26	13:41:26	afe9e3a6-b662-410d-b0e8-76ab63940349	GET	https://www.google.com	/
2025/01/26	13:41:29	619e3591-3fbe-4e83-8922-3a44b53570fb	GET	https://www.google.com	/
2025/01/26	13:41:43	bb8ad71c-bb49-4172-ae3a-e9bfdc5a46ee	OPTIONS	https://www.google.com	/
2025/01/26	13:41:43	a91d5b77-e2fe-4ad6-9b9b-9a20781498e6	GET	https://www.google.com	/
2025/01/26	13:41:45	d36f8e64-3f55-4c77-9d16-7d9dd68aa139	GET	https://www.google.com	/
2025/01/26	13:41:52	a2de33b5-0feb-4fdb-b2f2-c847332ca1be	OPTIONS	https://www.google.com	/
2025/01/26	13:41:52	494990e8-e9a3-4ee5-bac9-47bcff487629	GET	https://www.google.com	/
2025/01/26	13:41:53	60ff1bdd-e8db-45ea-ae3d-04b968afb6c7	GET	https://www.google.com	/
2025/01/26	13:42:13	3fc2d40b-048f-4f2a-a858-caa384fe5cc1	OPTIONS	https://www.google.com	/
2025/01/26	13:42:13	b5d4b34b-822e-4ef4-b3c0-43bb7f111cc9	GET	https://www.google.com	/
2025/01/26	13:42:33	2eb25e40-8b40-433d-bedf-4ba25ada376f	OPTIONS	https://www.google.com	/
2025/01/26	13:42:33	85b4e140-1860-4ce5-b1e7-a8cd6fe23be3	GET	https://www.google.com	/
2025/01/26	13:42:48	0a5a746e-263b-46cc-8a62-b33da612696d	OPTIONS	https://www.google.com	/
2025/01/26	13:42:48	adb1bf8b-bd16-4cf9-8278-8b96abf8e300	GET	https://www.google.com	/
2025/01/26	13:42:50	c889959b-2d48-4bc5-9583-c53b20973cb9	GET	https://www.google.com	/
2025/01/26	13:43:08	5ee439ab-6f93-4007-b591-7baa32f99092	OPTIONS	https://www.google.com	/
2025/01/26	13:43:08	234ec624-831d-4f8f-8530-987f2c759c70	GET	https://www.google.com	/
